GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
restaurante,com.restaurante,RestauranteApplication,5,3,0,0,2,1,1,1,1,1
restaurante,com.restaurante,ServletInitializer,12,0,0,0,2,0,2,0,2,0
restaurante,com.restaurante.model,Comanda,39,44,0,0,13,18,4,9,4,9
restaurante,com.restaurante.model,EmpresaPessoa,0,124,0,0,0,46,0,19,0,19
restaurante,com.restaurante.model,Financeiro,140,47,0,0,49,18,12,15,12,15
restaurante,com.restaurante.model,EmpresaPessoaEndereco,49,3,0,0,21,1,14,1,14,1
restaurante,com.restaurante.model,TipoRecebimento,22,9,0,0,8,3,3,3,3,3
restaurante,com.restaurante.model,TipoLancamento,22,9,0,0,8,3,3,3,3,3
restaurante,com.restaurante.model.dto,EmpresaPessoaEnderecoDTO,104,0,0,0,36,0,18,0,18,0
restaurante,com.restaurante.model.dto,ComandaDTO,32,50,0,0,10,18,7,7,7,7
restaurante,com.restaurante.model.dto,FinanceiroDTO,53,112,0,0,17,40,14,14,14,14
restaurante,com.restaurante.model.dto,TipoRecebimentoDTO,17,25,0,0,4,9,4,4,4,4
restaurante,com.restaurante.model.dto,TipoLancamentoDTO,23,25,0,0,7,9,4,4,4,4
restaurante,com.restaurante.model.dto,EmpresaPessoaDTO,17,97,0,0,5,35,2,18,2,18
restaurante,com.restaurante.controller,ComandaController,31,41,0,2,7,11,1,4,1,3
restaurante,com.restaurante.controller,EmpresaPessoaController,16,56,0,2,4,14,0,5,0,4
restaurante,com.restaurante.controller,FinanceiroController,31,41,0,2,7,11,1,4,1,3
restaurante,com.restaurante.service.impl,FinanceiroServiceImpl,31,29,2,2,11,10,2,4,1,3
restaurante,com.restaurante.service.impl,EmpresaPessoaServiceImpl,21,39,2,2,7,14,1,5,0,4
restaurante,com.restaurante.service.impl,ComandaServiceImpl,31,29,2,2,11,10,2,4,1,3
